date,ART,TPS
2015-01-02 04:20:00,0.026513,63
2015-01-02 04:30:00,0.022509,36
2015-01-02 04:40:00,0.050045,95
2015-01-02 04:50:00,0.027789,77
2015-01-02 05:00:00,0.044702,102
2015-01-02 05:10:00,0.026856,72
2015-01-02 05:20:00,0.047936,63
2015-01-02 05:30:00,0.029769,90
2015-01-02 05:40:00,0.026137,77
2015-01-02 05:50:00,0.034855,124
2015-01-02 06:00:00,0.02506,48
2015-01-02 06:08:00,0.023849,113
2015-01-02 06:18:00,0.038858,107
2015-01-02 06:28:00,0.025012,146
2015-01-02 06:38:00,0.033167,212
2015-01-02 06:48:00,0.030416,303
2015-01-02 06:58:00,0.025497,326
2015-01-02 07:08:00,0.024302,411
2015-01-02 07:18:00,0.025081,382
2015-01-02 07:28:00,0.026331,586
2015-01-02 07:38:00,0.026628,811
2015-01-02 07:48:00,0.050433,1080
2015-01-02 07:58:00,0.025938,1470
2015-01-02 08:08:00,0.025858,2373
2015-01-02 08:18:00,0.024612,3224
2015-01-02 08:28:00,0.025039,4616
2015-01-02 08:38:00,0.02762,7309
2015-01-02 08:48:00,0.030711,9463
2015-01-02 08:58:00,0.026987,10743
2015-01-02 09:08:00,0.027812,12658
2015-01-02 09:18:00,0.028012,13902
2015-01-02 09:28:00,0.028157,14371
2015-01-02 09:38:00,0.028191,15068
2015-01-02 09:48:00,0.029012,15479
2015-01-02 09:58:00,0.029433,16128
2015-01-02 10:08:00,0.0287,15204
2015-01-02 10:18:00,0.02929,14812
2015-01-02 10:28:00,0.030487,16156
2015-01-02 10:38:00,0.02922,16405
2015-01-02 10:48:00,0.028614,13706
2015-01-02 10:58:00,0.028775,11889
2015-01-02 11:08:00,0.028887,15940
2015-01-02 11:18:00,0.028517,14303
2015-01-02 11:28:00,0.032976,14396
2015-01-02 11:38:00,0.033513,13360
2015-01-02 11:48:00,0.028324,13149
2015-01-02 11:58:00,0.031766,11891
2015-01-02 12:08:00,0.030499,9674
2015-01-02 12:18:00,0.027646,8335
2015-01-02 12:28:00,0.028183,7815
2015-01-02 12:38:00,0.027352,8021
2015-01-02 12:48:00,0.028746,8579
2015-01-02 12:58:00,0.026379,9288
2015-01-02 13:08:00,0.027823,9937
2015-01-02 13:18:00,0.029306,9495
2015-01-02 13:28:00,0.026806,10368
2015-01-02 13:38:00,0.026112,11324
2015-01-02 13:48:00,0.025966,11356
2015-01-02 13:58:00,0.02801,11290
2015-01-02 14:08:00,0.026053,12399
2015-01-02 14:18:00,0.026418,11935
2015-01-02 14:28:00,0.02878,11759
2015-01-02 14:38:00,0.027383,11759
2015-01-02 14:48:00,0.026241,11723
2015-01-02 14:58:00,0.041877,11723
2015-01-02 15:08:00,0.029355,10975
2015-01-02 15:18:00,0.02868,10686
2015-01-02 15:28:00,0.028244,10731
2015-01-02 15:38:00,0.02712,10419
2015-01-02 15:48:00,0.031666,10167
2015-01-02 15:58:00,0.026956,9739
2015-01-02 16:08:00,0.02744,9212
2015-01-02 16:18:00,0.025943,8920
2015-01-02 16:28:00,0.029172,9163
2015-01-02 16:38:00,0.027951,8360
2015-01-02 16:48:00,0.02867,8846
2015-01-02 16:58:00,0.0293,8093
2015-01-02 17:08:00,0.0295,7992
2015-01-02 17:18:00,0.026525,7432
2015-01-02 17:28:00,0.025004,6315
2015-01-02 17:38:00,0.02499,5576
2015-01-02 17:48:00,0.023869,4690
2015-01-02 17:58:00,0.02323,4729
2015-01-02 18:08:00,0.024803,4939
2015-01-02 18:18:00,0.023199,4086
2015-01-02 18:28:00,0.022121,3683
2015-01-02 18:38:00,0.022792,3475
2015-01-02 18:48:00,0.024468,3230
2015-01-02 18:58:00,0.02291,3273
2015-01-02 19:08:00,0.022639,3282
2015-01-02 19:18:00,0.023275,2995
2015-01-02 19:28:00,0.02307,3318
2015-01-02 19:38:00,0.023078,3006
2015-01-02 19:48:00,0.023215,2882
2015-01-02 19:58:00,0.023262,2885
2015-01-02 20:08:00,0.027416,2897
2015-01-02 20:18:00,0.025446,2371
2015-01-02 20:28:00,0.025133,2541
2015-01-02 20:38:00,0.024184,2132
2015-01-02 20:48:00,0.026866,2444
2015-01-02 20:58:00,0.027273,1977
2015-01-02 21:08:00,0.025859,2041
2015-01-02 21:18:00,0.025037,1609
2015-01-02 21:28:00,0.024953,1566
2015-01-02 21:38:00,0.024906,1635
2015-01-02 21:48:00,0.02728,1706
2015-01-02 21:58:00,0.028844,1442
2015-01-02 22:08:00,0.024077,1178
2015-01-02 22:18:00,0.023184,1146
2015-01-02 22:28:00,0.029719,917
2015-01-02 22:38:00,0.026984,1003
2015-01-02 22:48:00,0.026051,895
2015-01-02 22:58:00,0.0323,980
2015-01-02 23:08:00,0.023934,691
2015-01-02 23:18:00,0.024188,665
2015-01-02 23:28:00,0.025525,729
2015-01-02 23:38:00,0.022085,609
2015-01-02 23:48:00,0.024642,515
2015-01-02 23:58:00,0.023626,450
2015-01-03 00:08:00,0.023819,573
2015-01-03 00:18:00,0.023249,452
2015-01-03 00:28:00,0.026583,434
2015-01-03 00:38:00,0.025631,347
2015-01-03 00:48:00,0.026445,300
2015-01-03 00:58:00,0.027721,381
2015-01-03 01:08:00,0.029488,287
2015-01-03 01:18:00,0.025901,299
2015-01-03 01:28:00,0.029889,381
2015-01-03 01:38:00,0.031177,112
2015-01-03 01:48:00,0.03275,149
2015-01-03 01:58:00,0.033595,140
2015-01-03 02:08:00,0.078741,116
2015-01-03 02:18:00,0.037069,134
2015-01-03 02:28:00,0.040431,87
2015-01-03 02:38:00,0.038954,97
2015-01-03 02:48:00,0.04615,90
2015-01-03 02:58:00,0.027787,105
2015-01-03 03:08:00,0.027605,70
2015-01-03 03:18:00,0.020694,48
2015-01-03 03:28:00,0.026559,60
2015-01-03 03:38:00,0.029839,31
2015-01-03 03:48:00,0.030593,76
2015-01-03 03:58:00,0.034603,98
2015-01-03 04:08:00,0.025332,91
2015-01-03 04:18:00,0.028263,59
2015-01-03 04:28:00,0.030758,62
2015-01-03 04:38:00,0.026838,65
2015-01-03 04:48:00,0.030163,37
2015-01-03 04:58:00,0.034149,69
2015-01-03 05:08:00,0.030151,105
2015-01-03 05:18:00,0.031888,71
2015-01-03 05:28:00,0.02228,77
2015-01-03 05:38:00,0.024338,78
2015-01-03 05:48:00,0.018937,71
2015-01-03 05:58:00,0.02567,108
2015-01-03 06:06:00,0.026521,103
2015-01-03 06:16:00,0.024055,146
2015-01-03 06:26:00,0.025581,164
2015-01-03 06:36:00,0.026693,224
2015-01-03 06:46:00,0.023963,227
2015-01-03 06:56:00,0.023875,285
2015-01-03 07:06:00,0.029132,310
2015-01-03 07:16:00,0.025193,481
2015-01-03 07:26:00,0.024605,478
2015-01-03 07:36:00,0.026108,601
2015-01-03 07:46:00,0.0307,1067
2015-01-03 07:56:00,0.026444,1371
2015-01-03 08:06:00,0.024824,1901
2015-01-03 08:16:00,0.025381,3023
2015-01-03 08:26:00,0.024946,3964
2015-01-03 08:36:00,0.025049,6313
2015-01-03 08:46:00,0.029167,8590
2015-01-03 08:56:00,0.026694,10101
2015-01-03 09:06:00,0.0289,11768
2015-01-03 09:16:00,0.028376,12885
2015-01-03 09:26:00,0.02738,13626
2015-01-03 09:36:00,0.031368,14855
2015-01-03 09:46:00,0.031681,14907
2015-01-03 09:56:00,0.029688,15141
2015-01-03 10:06:00,0.030562,15390
2015-01-03 10:16:00,0.028454,15966
2015-01-03 10:26:00,0.028961,15894
2015-01-03 10:36:00,0.028879,15661
2015-01-03 10:46:00,0.028026,15553
2015-01-03 10:56:00,0.027899,14964
2015-01-03 11:06:00,0.030162,15238
2015-01-03 11:16:00,0.027841,14579
2015-01-03 11:26:00,0.028521,14071
2015-01-03 11:36:00,0.026865,13020
2015-01-03 11:46:00,0.028676,12629
2015-01-03 11:56:00,0.026424,11293
2015-01-03 12:06:00,0.026188,9862
2015-01-03 12:16:00,0.025283,8178
2015-01-03 12:26:00,0.024708,7812
2015-01-03 12:36:00,0.024515,8413
2015-01-03 12:46:00,0.025062,8773
2015-01-03 12:56:00,0.02491,8681
2015-01-03 13:06:00,0.025318,9901
2015-01-03 13:16:00,0.027577,9647
2015-01-03 13:26:00,0.027372,10882
2015-01-03 13:36:00,0.027932,10960
2015-01-03 13:46:00,0.026682,10776
2015-01-03 13:56:00,0.026834,10995
2015-01-03 14:06:00,0.026168,11727
2015-01-03 14:16:00,0.027202,11885
2015-01-03 14:26:00,0.027141,11862
2015-01-03 14:36:00,0.028044,12720
2015-01-03 14:46:00,0.02677,11991
2015-01-03 14:56:00,0.028378,11412
2015-01-03 15:06:00,0.026099,10707
2015-01-03 15:16:00,0.026288,10552
2015-01-03 15:26:00,0.026102,10816
2015-01-03 15:36:00,0.026146,10510
2015-01-03 15:46:00,0.027228,10102
2015-01-03 15:56:00,0.027376,9925
2015-01-03 16:06:00,0.027476,10030
2015-01-03 16:16:00,0.027618,9547
2015-01-03 16:26:00,0.028154,8863
2015-01-03 16:36:00,0.029657,9040
2015-01-03 16:46:00,0.029608,8818
2015-01-03 16:56:00,0.032308,9087
2015-01-03 17:06:00,0.03012,8494
2015-01-03 17:16:00,0.027049,7758
2015-01-03 17:26:00,0.024833,6774
2015-01-03 17:36:00,0.024166,5693
2015-01-03 17:46:00,0.023251,5376
2015-01-03 17:56:00,0.022816,4596
2015-01-03 18:06:00,0.022651,4298
2015-01-03 18:16:00,0.023669,4290
2015-01-03 18:26:00,0.022743,3848
2015-01-03 18:36:00,0.02623,3842
2015-01-03 18:46:00,0.025602,3875
2015-01-03 18:56:00,0.023961,3692
2015-01-03 19:06:00,0.023038,3162
2015-01-03 19:16:00,0.023394,3209
2015-01-03 19:26:00,0.02254,3451
2015-01-03 19:36:00,0.023066,3155
2015-01-03 19:46:00,0.023683,2915
2015-01-03 19:56:00,0.022921,2851
2015-01-03 20:06:00,0.022764,2580
2015-01-03 20:16:00,0.023838,2591
2015-01-03 20:26:00,0.023442,2379
2015-01-03 20:36:00,0.027016,2230
2015-01-03 20:46:00,0.027179,2064
2015-01-03 20:56:00,0.02503,2212
2015-01-03 21:06:00,0.022524,2434
2015-01-03 21:16:00,0.022401,2436
2015-01-03 21:26:00,0.0299,1628
2015-01-03 21:36:00,0.026455,1632
2015-01-03 21:46:00,0.026384,1923
2015-01-03 21:56:00,0.025245,1403
2015-01-03 22:06:00,0.024857,1336
2015-01-03 22:16:00,0.026923,1386
2015-01-03 22:26:00,0.028157,1118
2015-01-03 22:36:00,0.028733,1001
2015-01-03 22:46:00,0.027592,857
2015-01-03 22:56:00,0.029146,808
2015-01-03 23:06:00,0.02675,540
2015-01-03 23:16:00,0.026329,497
2015-01-03 23:26:00,0.024489,538
2015-01-03 23:36:00,0.023111,637
2015-01-03 23:46:00,0.025192,452
2015-01-03 23:56:00,0.023155,433
2015-01-04 00:06:00,0.024283,384
2015-01-04 00:16:00,0.026018,412
2015-01-04 00:26:00,0.025871,357
2015-01-04 00:36:00,0.027529,263
2015-01-04 00:46:00,0.026563,233
2015-01-04 00:56:00,0.027061,269
2015-01-04 01:06:00,0.026941,244
2015-01-04 01:16:00,0.02968,190
2015-01-04 01:26:00,0.033653,181
2015-01-04 01:36:00,0.030017,190
2015-01-04 01:46:00,0.10952,123
2015-01-04 01:56:00,0.037895,148
2015-01-04 02:06:00,0.033276,263
2015-01-04 02:16:00,0.025612,213
2015-01-04 02:26:00,0.023269,209
2015-01-04 02:36:00,0.032016,246
2015-01-04 02:46:00,0.023199,198
2015-01-04 02:56:00,0.023109,199
2015-01-04 03:06:00,0.024292,179
2015-01-04 03:16:00,0.022715,189
2015-01-04 03:26:00,0.015897,153
2015-01-04 03:36:00,0.019336,169
2015-01-04 03:46:00,0.022477,176
2015-01-04 03:56:00,0.022982,152
2015-01-04 04:06:00,0.021316,88
2015-01-04 04:16:00,0.059402,120
2015-01-04 04:26:00,0.02517,98
2015-01-04 04:36:00,0.033985,74
2015-01-04 04:46:00,0.017607,60
2015-01-04 04:56:00,0.023661,72
2015-01-04 05:06:00,0.024108,86
2015-01-04 05:16:00,0.025402,64
2015-01-04 05:26:00,0.023214,109
2015-01-04 05:36:00,0.023593,142
2015-01-04 05:46:00,0.023795,83
2015-01-04 05:56:00,0.023195,92
2015-01-04 06:05:00,0.027732,160
2015-01-04 06:15:00,0.025045,117
2015-01-04 06:25:00,0.025767,245
2015-01-04 06:35:00,0.024833,314
2015-01-04 06:45:00,0.023368,240
2015-01-04 06:55:00,0.026735,456
2015-01-04 07:05:00,0.024882,515
2015-01-04 07:15:00,0.025521,563
2015-01-04 07:25:00,0.023435,703
2015-01-04 07:35:00,0.02449,1034
2015-01-04 07:45:00,0.023926,1436
2015-01-04 07:55:00,0.025794,1815
2015-01-04 08:05:00,0.025457,2690
2015-01-04 08:15:00,0.02483,3704
2015-01-04 08:25:00,0.025872,5395
2015-01-04 08:35:00,0.034106,8560
2015-01-04 08:45:00,0.030598,10854
2015-01-04 08:55:00,0.029182,12053
2015-01-04 09:05:00,0.02842,14024
2015-01-04 09:15:00,0.029962,15610
2015-01-04 09:25:00,0.034482,17665
2015-01-04 09:35:00,0.031606,18344
2015-01-04 09:45:00,0.031392,18618
2015-01-04 09:55:00,0.030988,18560
2015-01-04 10:05:00,0.036118,19559
2015-01-04 10:15:00,0.03291,18776
2015-01-04 10:25:00,0.031796,19552
2015-01-04 10:35:00,0.03471,19325
2015-01-04 10:45:00,0.031722,18251
2015-01-04 10:55:00,0.031233,17883
2015-01-04 11:05:00,0.032538,17727
2015-01-04 11:15:00,0.032462,17608
2015-01-04 11:25:00,0.032262,16900
2015-01-04 11:35:00,0.032335,16676
2015-01-04 11:45:00,0.028997,14558
2015-01-04 11:55:00,0.029323,13498
2015-01-04 12:05:00,0.02651,11243
2015-01-04 12:15:00,0.027399,11154
2015-01-04 12:25:00,0.026363,10045
2015-01-04 12:35:00,0.029018,10180
2015-01-04 12:45:00,0.026689,10424
2015-01-04 12:55:00,0.026645,10805
2015-01-04 13:05:00,0.027231,10557
2015-01-04 13:15:00,0.027325,11144
2015-01-04 13:25:00,0.026605,10947
2015-01-04 13:35:00,0.027465,11673
2015-01-04 13:45:00,0.030012,11817
2015-01-04 13:55:00,0.028341,12034
2015-01-04 14:05:00,0.029961,12746
2015-01-04 14:15:00,0.03013,13479
2015-01-04 14:25:00,0.028948,14001
2015-01-04 14:35:00,0.028768,14017
2015-01-04 14:45:00,0.036538,13895
2015-01-04 14:55:00,0.028969,13820
2015-01-04 15:05:00,0.028403,13715
2015-01-04 15:15:00,0.031093,13556
2015-01-04 15:25:00,0.027702,12433
2015-01-04 15:35:00,0.029945,13012
2015-01-04 15:45:00,0.028889,12623
2015-01-04 15:55:00,0.032364,12918
2015-01-04 16:05:00,0.03005,12024
2015-01-04 16:15:00,0.031163,11616
2015-01-04 16:25:00,0.034765,11966
2015-01-04 16:35:00,0.030556,10745
2015-01-04 16:45:00,0.030994,10046
2015-01-04 16:55:00,0.030894,11100
2015-01-04 17:05:00,0.032513,9842
2015-01-04 17:15:00,0.029267,9597
2015-01-04 17:25:00,0.02912,7821
2015-01-04 17:35:00,0.025166,6503
2015-01-04 17:45:00,0.024748,5492
2015-01-04 17:55:00,0.024166,4816
2015-01-04 18:05:00,0.023731,5101
2015-01-04 18:15:00,0.029678,4805
2015-01-04 18:25:00,0.031148,4319
2015-01-04 18:35:00,0.023315,3899
2015-01-04 18:45:00,0.023164,3546
2015-01-04 18:55:00,0.03072,3837
2015-01-04 19:05:00,0.023131,3294
2015-01-04 19:15:00,0.023381,3155
2015-01-04 19:25:00,0.023781,3436
2015-01-04 19:35:00,0.023327,2945
2015-01-04 19:45:00,0.023577,2884
2015-01-04 19:55:00,0.023668,2797
2015-01-04 20:05:00,0.023809,2659
2015-01-04 20:15:00,0.024517,2513
2015-01-04 20:25:00,0.02361,2471
2015-01-04 20:35:00,0.023533,2303
2015-01-04 20:45:00,0.024002,2048
2015-01-04 20:55:00,0.023967,2078
2015-01-04 21:05:00,0.02564,2311
2015-01-04 21:15:00,0.024377,2198
2015-01-04 21:25:00,0.022683,2026
2015-01-04 21:35:00,0.021255,1878
2015-01-04 21:45:00,0.022566,1860
2015-01-04 21:55:00,0.023199,1619
2015-01-04 22:05:00,0.025465,1339
2015-01-04 22:15:00,0.026325,1228
2015-01-04 22:25:00,0.027116,1205
2015-01-04 22:35:00,0.026371,921
2015-01-04 22:45:00,0.035242,622
2015-01-04 22:55:00,0.02397,873
2015-01-04 23:05:00,0.032643,949
2015-01-04 23:15:00,0.036051,858
2015-01-04 23:25:00,0.029932,764
2015-01-04 23:35:00,0.025286,652
2015-01-04 23:45:00,0.031294,573
2015-01-04 23:55:00,0.022821,578
2015-01-05 00:05:00,0.025691,482
2015-01-05 00:15:00,0.026791,481
2015-01-05 00:25:00,0.022957,324
2015-01-05 00:35:00,0.023068,315
2015-01-05 00:45:00,0.028762,278
2015-01-05 00:55:00,0.027945,268
2015-01-05 01:05:00,0.024974,276
2015-01-05 01:15:00,0.038236,187
2015-01-05 01:25:00,0.035554,151
2015-01-05 01:35:00,0.096793,179
2015-01-05 01:45:00,0.041249,99
2015-01-05 01:55:00,0.038936,148
2015-01-05 02:05:00,0.036369,237
2015-01-05 02:15:00,0.038843,204
2015-01-05 02:25:00,0.029052,215
2015-01-05 02:35:00,0.026537,221
2015-01-05 02:45:00,0.029981,180
2015-01-05 02:55:00,0.036743,138
2015-01-05 03:05:00,0.025292,63
2015-01-05 03:15:00,0.022877,324
2015-01-05 03:25:00,0.025528,64
2015-01-05 03:35:00,0.027748,63
2015-01-05 03:45:00,0.027277,46
2015-01-05 03:55:00,0.028658,59
2015-01-05 04:05:00,0.027528,75
2015-01-05 04:15:00,0.03128,93
2015-01-05 04:25:00,0.02326,98
2015-01-05 04:35:00,0.026457,70
2015-01-05 04:45:00,0.031068,90
2015-01-05 04:55:00,0.021468,51
2015-01-05 05:05:00,0.025523,88
2015-01-05 05:15:00,0.021868,42
2015-01-05 05:25:00,0.02772,66
2015-01-05 05:35:00,0.025483,101
2015-01-05 05:45:00,0.03137,135
2015-01-05 05:55:00,0.024634,102
2015-01-05 06:03:00,0.026541,110
2015-01-05 06:13:00,0.026386,178
2015-01-05 06:23:00,0.023318,217
2015-01-05 06:33:00,0.023104,185
2015-01-05 06:43:00,0.026189,207
2015-01-05 06:53:00,0.025316,429
2015-01-05 07:03:00,0.026995,466
2015-01-05 07:13:00,0.026068,580
2015-01-05 07:23:00,0.025321,720
2015-01-05 07:33:00,0.024302,1038
2015-01-05 07:43:00,0.024475,1197
2015-01-05 07:53:00,0.040809,1544
2015-01-05 08:03:00,0.027206,2654
2015-01-05 08:13:00,0.025567,3872
2015-01-05 08:23:00,0.025805,5068
2015-01-05 08:33:00,0.028446,7494
2015-01-05 08:43:00,0.032673,10920
2015-01-05 08:53:00,0.028396,12223
2015-01-05 09:03:00,0.029792,14876
2015-01-05 09:13:00,0.031496,16596
2015-01-05 09:23:00,0.031068,17487
2015-01-05 09:33:00,0.031663,18396
2015-01-05 09:43:00,0.029869,18993
2015-01-05 09:53:00,0.031104,19059
2015-01-05 10:03:00,0.030865,20245
2015-01-05 10:13:00,0.031584,19680
2015-01-05 10:23:00,0.031588,19269
2015-01-05 10:33:00,0.030919,19472
2015-01-05 10:43:00,0.031314,18537
2015-01-05 10:53:00,0.032952,18916
2015-01-05 11:03:00,0.030353,18614
2015-01-05 11:13:00,0.03318,17702
2015-01-05 11:23:00,0.030673,16968
2015-01-05 11:33:00,0.030007,16005
2015-01-05 11:43:00,0.029182,15096
2015-01-05 11:53:00,0.03053,13948
2015-01-05 12:03:00,0.029508,11792
2015-01-05 12:13:00,0.026129,10326
2015-01-05 12:23:00,0.02588,9845
2015-01-05 12:33:00,0.025584,10095
2015-01-05 12:43:00,0.025449,9469
2015-01-05 12:53:00,0.026344,9801
2015-01-05 13:03:00,0.02859,10343
2015-01-05 13:13:00,0.026142,10584
2015-01-05 13:23:00,0.026758,11220
2015-01-05 13:33:00,0.028065,11385
2015-01-05 13:43:00,0.027542,11516
2015-01-05 13:53:00,0.033715,12022
2015-01-05 14:03:00,0.038885,12877
2015-01-05 14:13:00,0.029709,13896
2015-01-05 14:23:00,0.030317,13833
2015-01-05 14:33:00,0.03154,14615
2015-01-05 14:43:00,0.029322,13951
2015-01-05 14:53:00,0.029069,14204
2015-01-05 15:03:00,0.031001,14018
2015-01-05 15:13:00,0.030788,13871
2015-01-05 15:23:00,0.031549,13870
2015-01-05 15:33:00,0.031919,13143
2015-01-05 15:43:00,0.030011,12598
2015-01-05 15:53:00,0.029131,12705
2015-01-05 16:03:00,0.03363,11702
2015-01-05 16:13:00,0.031071,12201
2015-01-05 16:23:00,0.031284,11722
2015-01-05 16:33:00,0.033776,11373
2015-01-05 16:43:00,0.030549,11130
2015-01-05 16:53:00,0.031418,10152
2015-01-05 17:03:00,0.031132,10194
2015-01-05 17:13:00,0.032841,9063
2015-01-05 17:23:00,0.028776,8681
2015-01-05 17:33:00,0.030646,7096
2015-01-05 17:43:00,0.025248,5477
2015-01-05 17:53:00,0.024866,5183
2015-01-05 18:03:00,0.024955,4474
2015-01-05 18:13:00,0.023221,4468
2015-01-05 18:23:00,0.023532,3981
2015-01-05 18:33:00,0.02345,3667
2015-01-05 18:43:00,0.028788,3570
2015-01-05 18:53:00,0.017373,3251
2015-01-05 19:03:00,0.018724,3510
2015-01-05 19:13:00,0.01778,3213
2015-01-05 19:23:00,0.018021,3197
2015-01-05 19:33:00,0.018352,2990
2015-01-05 19:43:00,0.017593,2959
2015-01-05 19:53:00,0.01862,2764
2015-01-05 20:03:00,0.017139,2289
2015-01-05 20:13:00,0.018108,2030
2015-01-05 20:23:00,0.018821,2820
2015-01-05 20:33:00,0.019361,2429
2015-01-05 20:43:00,0.018974,2092
2015-01-05 20:53:00,0.019649,1937
2015-01-05 21:03:00,0.016155,2268
2015-01-05 21:13:00,0.015689,2300
2015-01-05 21:23:00,0.015734,2119
2015-01-05 21:33:00,0.01452,1977
2015-01-05 21:43:00,0.015907,2183
2015-01-05 21:53:00,0.015168,1921
2015-01-05 22:03:00,0.017395,1732
2015-01-05 22:13:00,0.01662,1649
2015-01-05 22:23:00,0.01557,1593
